,Symbol,11/20/2022
115,CLX,0.9669282511
116,CME.O,1.0085000848
117,CMS,1.191923775
118,KO,1.130075188
119,CTSH.O,2.0804760555
120,CL,1.0854110096
121,CMCSA.O,0.8452705465
122,CMA,
123,CAG,0.8621405024
124,COP,1.3351634639
125,ED,1.0228487194
126,STZ,1.2337705647
127,CEG.O,0.998124062
128,COO,2.001502527
129,CPRT.O,4.9954863923
130,GLW,1.5936329588
131,CTVA.K,1.6264908977
132,CSGP.O,11.7751831326
133,COST.O,1.0218138634
134,CTRA.K,1.7508196721
135,CCI,0.6189536032
136,CSX.O,1.7344379758
137,CMI,1.7375776398
138,CVS,0.8849823765
139,DHI,
140,DHR,1.430958231
141,DRI,0.638376184
142,DVA,1.3206918562
143,DE,
144,DAL,0.7602785462
145,XRAY.O,1.4686756542
146,DVN,1.3764172336
147,DXCM.O,5.1115427303
148,FANG.O,1.0055632823
149,DLR,
150,DFS,
151,DISH.O,1.1545907955
152,DIS,1.0008599044
153,DG,1.054267708
154,DLTR.O,1.343006273
155,D,0.8381182982
156,DPZ,1.4567128403
157,DOV,1.3605533561
158,DOW,1.5762891275
159,DTE,0.5226914592
160,DUK,0.6239407445
161,DD,2.9006286757
162,DXC,1.0865314461
163,EMN,1.563783238
164,ETN,1.04145868
165,EBAY.O,1.9712245781
166,ECL,1.3191207925
167,EIX,0.6378208851
168,EW,3.0811779521
169,EA.O,1.1816111586
170,ELV,
171,LLY,1.2258531692
172,EMR,1.0937379452
173,ENPH.O,3.3253167378
174,ETR,0.5853248286
175,EOG,2.1237011381
176,EPAM.K,2.972780383
177,EQT,0.4501356352
178,EFX,0.4891982717
179,EQIX.O,1.8413360532
180,EQR,
181,ESS,
182,EL,1.5989681857
183,ETSY.O,2.1792188932
184,RE,
185,EVRG.K,0.5511940443
186,ES,0.5592779525
187,EXC.O,0.8663025262
188,EXPE.O,0.8657142857
189,EXPD.O,1.7806001508
190,EXR,
191,XOM,1.0443302791
192,FFIV.O,1.0392798504
193,FDS,1.9857924146
194,FAST.O,4.1873350923
195,FRT,
196,FDX,1.4267199103
197,FITB.O,
198,FRC,
199,FE,0.7330163043
200,FIS,0.7402184432
201,FISV.O,1.0314293523
202,FLT,1.0373693541
203,FMC,1.4356162827
204,F,1.2013623287
205,FTNT.O,1.5532548208
206,FTV,0.6769765
207,FBHS.K,1.3923697428
208,FOXA.O,3.6067073171
209,FOX.L,1.3740684187
210,BEN,
211,FCX,2.5169721656
212,GRMN.K,2.9429119123
213,IT,0.7754514943
214,GNRC.K,1.5991459521
215,GD,1.4298898269
216,GE,1.2770773584
217,GIS,0.6346463173
218,GM,1.1034162993
219,GPC,1.1785040164
220,GILD.O,1.2723514212
221,GL,
222,GPN,1.0555613314
223,GS,
224,HAL,2.3091035764
225,HIG,
226,HAS.O,1.5180178346
227,HCA,1.4132748904
228,PEAK.K,
229,HSIC.O,1.6665994657
230,HSY,0.9008921062
231,HES,1.4184073107
232,HPE,0.9125537777
233,HLT,0.7784034448
234,HOLX.O,4.1185880346
235,HD,1.0126163176
236,HON.O,1.3005946278
237,HRL,2.082299771
238,HST.O,
239,HWM,2.1843575419
240,HPQ,0.7619604069
241,HUM,
242,HBAN.O,
243,HII,1.1495673671
244,IBM,0.8786400547
245,IEX,3.4958333333
246,IDXX.O,1.2515469912
247,ITW,1.8368876081
248,ILMN.O,2.4821591949
249,INCY.O,3.650526508
250,IR,2.8036383457
251,INTC.O,2.1323283082
252,ICE,1.0057948908
253,IP,1.7123552124
254,IPG,1.0313865932
255,IFF,1.9232039637
256,INTU.O,1.3903581267
257,ISRG.O,5.0834058097
258,IVZ,
259,INVH.K,
260,IQV,0.9087960313
261,IRM,0.714000436
262,JBHT.O,1.3375167669
263,JKHY.O,1.1281540187
264,J,1.3370705973
265,JNJ,1.3483173396
266,JCI,1.0396832458
267,JPM,
268,JNPR.K,1.575592859
269,K,0.6385700847
270,KDP.O,0.4713955281
271,KEY,
272,KEYS.K,3.0092395167
273,KMB,0.8245666025
274,KIM,
275,KMI,0.6577907576
276,KLAC.O,2.4969361736
277,KHC.O,0.9922771403
278,KR,0.7458187833
279,LHX,1.3972753241
280,LH,1.915447914
281,LRCX.O,2.6913217105
282,LW,2.373909312
283,LVS,2.1481481481
284,LDOS.K,1.1207804274
285,LEN,
286,LNC,
287,LIN,0.7446309463
288,LYV,0.9749655835
289,LKQ.O,1.9646613215
290,LMT,1.4156604987
291,L,
292,LOW,1.0199308521
293,LUMN.K,1.6091505091
294,LYB,1.6897648686
295,MTB,
296,MRO,1.112400733
297,MPC,1.7038775282
298,MKTX.O,
299,MAR.O,0.5659434993
300,MMC,1.2419597235
301,MLM,2.6914695721
302,MAS,1.7648272305
303,MA,1.2877222307
304,MTCH.O,1.0427606041
305,MKC,0.6811216577
306,MCD,1.7782338308
307,MCK,0.9538851979
308,MDT,1.8604970147
309,MRK,1.2678451743
310,META.O,3.1542938254
311,MET,
312,MTD,1.1071224853
313,MGM,1.8639424518
314,MCHP.O,1.7531093638
315,MU.O,2.8891099615
316,MSFT.O,1.7846069708
317,MAA,
318,MRNA.O,1.7606266433
319,MHK,1.7779110121
320,MOH,1.4281254435
321,TAP,0.7671304732
322,MDLZ.O,0.7382924043
323,MPWR.O,4.9565179075
324,MNST.O,4.8515453705
325,MCO,1.6069711538
326,MS,
327,MOS,1.1123574383
328,MSI,1.3320206744
329,MSCI.K,1.7134436027
330,NDAQ.O,0.9429623984
331,NTAP.O,1.5039210726
332,NFLX.O,0.9506251998
333,NWL.O,1.2848959904
334,NEM,2.8997739261
335,NWSA.O,1.1631145212
336,NWS.O,1.1631145212
337,NEE,0.5326604347
338,NKE,2.6293569432
339,NI,0.6994392251
340,NDSN.O,2.615297916
341,NSC,0.8595795319
342,NTRS.O,
343,NOC,1.3038824764
344,NLOK.O,0.7373572594
345,NCLH.K,0.8850363711
346,NRG,1.3696778269
347,NUE,2.4817785584
348,NVDA.O,6.6502883506
349,NVR,
350,NXPI.O,2.132137031
351,ORLY.O,0.7667331391
352,OXY,1.2266938972
353,ODFL.O,2.9807963225
354,OMC,0.9804821831
355,ON.O,2.4501749384
356,OKE,0.7455755304
357,ORCL.K,1.621290554
358,OGN,1.4478244128
359,OTIS.K,1.3223947495
360,PCAR.O,4.1746281887
361,PKG,3.088494575
362,PARA.O,1.7592573056
363,PH,2.0559805766
364,PAYX.O,1.2490700676
365,PAYC.K,1.1314442753
366,PYPL.O,1.2218271398
367,PNR,1.2398973091
368,PEP.O,0.830778032
369,PKI,2.0109512385
370,PFE,1.3989126104
371,PCG,0.635622884
372,PM,0.9201246429
373,PSX,1.1481134286
374,PNW,0.8828774371
375,PXD,1.5155904739
376,PNC,
377,POOL.O,2.3764736384
378,PPG,1.4213176668
379,PPL,2.1554024968
380,PFG.O,
381,PG,0.6545449049
382,PGR,
383,PLD,
384,PRU,
385,PEG,0.8837669683
386,PTC.O,1.3488749877
387,PSA,
388,PHM,
389,QRVO.O,3.6287468876
390,PWR,1.4953038901
391,QCOM.O,1.7465026125
392,DGX,1.5636052481
393,RL,1.8696191869
394,RJF,
395,RTX,1.1862111766
396,O,
397,REG.O,
398,REGN.O,3.5638652257
399,RF,
400,RSG,0.7082298394
401,RMD,2.8020902395
402,RHI,1.6696784289
403,ROK,1.010777672
404,ROL,0.7174414959
405,ROP,0.7755461593
406,ROST.O,1.7730253582
407,RCL,0.4941569651
408,SPGI.K,2.3093053735
409,CRM,1.048742427
410,SBAC.O,0.9969415785
411,SLB,1.2215464813
412,STX.O,1.1344585091
413,SEE,1.031036716
414,SRE,0.4359740907
415,NOW,1.0547585371
416,SHW,0.883591223
417,SBNY.O,
418,SPG,
419,SWKS.O,2.3074898301
420,SJM,1.0293424826
421,SNA,3.1087354918
422,SEDG.O,3.2584785055
423,SO,0.8208955224
424,LUV,1.9681361851
425,SWK,0.9725118051
426,SBUX.O,0.7669201687
427,STT,
428,STE,2.0374671175
429,SYK,2.2020224225
430,SIVB.O,
431,SYF,
432,SNPS.O,1.163604565
433,SYY,1.1980747776
434,TMUS.O,0.8890165539
435,TROW.O,
436,TTWO.O,1.8390281259
437,TPR,1.7523148148
438,TRGP.K,0.769980422
439,TGT,0.9919988964
440,TEL,1.5690846287
441,TDY,1.621329418
442,TFX,2.1012763943
443,TER.O,3.199804998
444,TSLA.O,1.3752854605
445,TXN.O,5.3269754768
446,TXT,2.3727678571
447,TMO,1.4969484966
448,TJX,1.2665666489
449,TSCO.O,1.5741834
450,TT,1.3616067671
451,TDG,3.961430575
452,TRV,
453,TRMB.O,1.2204273936
454,TFC,
455,TYL,1.1625435051
456,TSN,1.8125352908
457,USB,
458,UDR,
459,ULTA.O,1.4641645432
460,UNP,0.6182103064
461,UAL.O,1.192854021
462,UPS,1.4192042803
463,URI,0.8263542067
464,UNH,
465,UHS,1.1408425646
466,VLO,1.2560085455
467,VTR,
468,VRSN.O,1.181327404
469,VRSK.O,0.4896918403
470,VZ,0.7787955895
471,VRTX.O,4.4633986928
472,VFC,1.3838704686
473,VTRS.O,1.1030411558
474,VICI.K,
475,V,1.4484726418
476,VNO,
477,VMC,2.2053815157
478,WAB,1.316838488
479,WBA.O,0.7484390914
480,WMT,0.9277972968
481,WBD.O,2.1000289101
482,WM,0.7518373346
483,WAT,2.3937146955
484,WEC,0.7078870237
485,WFC,
486,WELL.K,
487,WST,2.932166302
488,WDC.O,1.805041054
489,WRK,
490,WY,3.286163522
491,WHR,1.1392479436
492,WMB,0.914923572
493,WTW.O,1.2556370551
494,GWW,2.625
495,WYNN.O,2.233062863
496,XEL.O,0.8400713436
497,XYL,2.2717469446
498,YUM,1.0826855124
499,ZBRA.O,0.9383333333
500,ZBH,1.4086334669
501,ZION.O,
502,ZTS,3.856427379
