,Instrument,Volatility - 200 days
77,BMY,20.208773729197
78,AVGO.O,38.0648703856934
79,BR,30.3065692499759
80,BRO,34.6335646764317
81,BFb,25.1515765239202
82,CHRW.O,36.2634968350863
83,CDNS.O,41.7715975282175
84,CZR.O,73.5779553743508
85,CPT,27.1243726717546
86,CPB,23.8132253274254
87,COF,43.2899478198331
88,CAH,27.2431671187281
89,KMX,56.2851204589942
90,CCL,82.3786582674538
91,CARR.K,35.186917327634
92,CTLT.K,55.5685639344805
93,CAT,35.4257525960018
94,CBOE.K,25.7060468175813
95,CBRE.K,34.9969112759639
96,CDW.O,32.4044300282454
97,CE,41.8072152729436
98,CNC,33.9265897539762
99,CNP,24.6345503853664
100,CDAY.K,56.9760363312888
101,CF,50.9017834929493
102,CRL,46.7614596036519
103,SCHW.K,38.4393663817457
104,CHTR.O,38.7803295963627
105,CVX,34.7144712272332
106,CMG,42.5170873997878
107,CB,24.4242804108613
108,CHD,26.092294563409
109,CI,27.3751631645459
110,CINF.O,34.9233576398299
111,CTAS.O,28.0982468730055
112,CSCO.O,31.1696467793184
113,C,34.5843665853681
114,CFG,36.4848861411579
115,CLX,34.8011136870957
116,CME.O,26.2853730289445
117,CMS,24.4993170212707
118,KO,21.2591175374522
119,CTSH.O,36.8183905566586
120,CL,21.4478149175899
121,CMCSA.O,31.5662860851288
122,CMA,38.3694887705346
123,CAG,25.8963417740168
124,COP,44.1882478907752
125,ED,23.0152532514782
126,STZ,23.9404492219553
127,CEG.O,48.3905136576458
128,COO,35.5218332251417
129,CPRT.O,35.3244551598145
130,GLW,31.2198413212491
131,CTVA.K,29.0968717390291
132,CSGP.O,46.7629717073509
133,COST.O,32.5109003797413
134,CTRA.K,48.1795047187038
135,CCI,30.7126756182153
136,CSX.O,29.6189521540192
137,CMI,29.8495000944669
138,CVS,28.1317707104919
139,DHI,45.6985441036929
140,DHR,34.8779765243382
141,DRI,37.0927753624169
142,DVA,51.7102324252909
143,DE,37.9411042154169
144,DAL,49.0463246968655
145,XRAY.O,37.9130880566489
146,DVN,57.323025243048
147,DXCM.O,56.787712313984
148,FANG.O,48.6705296300194
149,DLR,35.0094623749468
150,DFS,42.1033478090016
151,DISH.O,67.5056310959076
152,DIS,37.7322356036936
153,DG,33.0506306156739
154,DLTR.O,42.9300476432493
155,D,24.0455381434096
156,DPZ,34.7105871876533
157,DOV,30.080308115364
158,DOW,31.1568340201954
159,DTE,23.3561319355922
160,DUK,23.0471271841146
161,DD,35.1054796823762
162,DXC,55.7572745452605
163,EMN,36.9727491841536
164,ETN,29.6323278970406
165,EBAY.O,39.8989103061878
166,ECL,35.7554414490408
167,EIX,28.4100260887062
168,EW,42.642589034816
169,EA.O,26.7535270532692
170,ELV,28.1317312214265
171,LLY,28.3352576362798
172,EMR,28.3031764669275
173,ENPH.O,74.522616885086
174,ETR,25.6239407457379
175,EOG,46.9132097134773
176,EPAM.K,100.593784789782
177,EQT,59.2268032901165
178,EFX,39.1107145218349
179,EQIX.O,37.2328751616111
180,EQR,28.4505832359793
181,ESS,27.9791111514704
182,EL,41.7019065851527
183,ETSY.O,80.9559670490875
184,RE,30.7027076772648
185,EVRG.K,23.8216754393337
186,ES,25.2505610806993
187,EXC.O,27.3320865603602
188,EXPE.O,55.4258677542782
189,EXPD.O,32.5281812199674
190,EXR,35.7906180250173
191,XOM,36.8556107915873
192,FFIV.O,37.8408834344302
193,FDS,29.4159207392689
194,FAST.O,30.2484235485965
195,FRT,29.1981875353895
196,FDX,47.0416065419033
197,FITB.O,37.626050891084
198,FRC,42.2462354725705
199,FE,24.9816145391227
200,FIS,51.4480881027918
201,FISV.O,32.4026736125979
202,FLT,35.9159138963241
203,FMC,30.1936600323961
204,F,49.1556296960171
205,FTNT.O,57.8308005051716
206,FTV,31.2298416726126
207,FBHS.K,42.2904247545515
208,FOXA.O,33.137830390298
209,FOX.L,21.6918853638453
210,BEN,39.7294696540763
211,FCX,56.6479909386451
212,GRMN.K,32.7445317873788
213,IT,37.3309460135386
214,GNRC.K,75.2119036266927
215,GD,25.2714201688217
216,GE,36.2728342946584
217,GIS,23.2492580310444
218,GM,45.1127541781056
219,GPC,25.2844648267828
220,GILD.O,26.5635300560696
221,GL,25.7516438294322
222,GPN,42.6781245141585
223,GS,30.1005878244067
224,HAL,52.2802405133901
225,HIG,27.6206503922127
226,HAS.O,31.9541135709948
227,HCA,46.4517376235977
228,PEAK.K,28.8132665785472
229,HSIC.O,26.8785970642182
230,HSY,21.9864962459838
231,HES,45.674651862385
232,HPE,35.6245769822413
233,HLT,39.1779533608461
234,HOLX.O,27.8253633057511
235,HD,32.4639279986658
236,HON.O,26.4412454061194
237,HRL,22.5726766941648
238,HST.O,41.1572660146153
239,HWM,35.1554539028536
240,HPQ,44.5159771249866
241,HUM,26.1940341700734
242,HBAN.O,34.457373653075
243,HII,27.64970753308
244,IBM,24.3958963017317
245,IEX,26.7544789377269
246,IDXX.O,43.9264877653449
247,ITW,27.8776756203528
248,ILMN.O,55.6016369010993
249,INCY.O,27.660218034515
250,IR,36.7839976068534
251,INTC.O,39.4288042739421
252,ICE,29.9935374726962
253,IP,31.0416262516742
254,IPG,36.3880355535129
255,IFF,34.6116074157536
256,INTU.O,49.4141503462363
257,ISRG.O,46.3763337322503
258,IVZ,45.7493128797761
259,INVH.K,31.4498597401939
260,IQV,38.4566587827585
261,IRM,36.964611271506
262,JBHT.O,35.3592030716928
263,JKHY.O,26.0572740724893
264,J,29.9726353636848
265,JNJ,18.2166635779869
266,JCI,34.5599224800719
267,JPM,30.7430337433964
268,JNPR.K,31.6174929254529
269,K,23.9190521587654
270,KDP.O,22.0481698608894
271,KEY,36.5130304677691
272,KEYS.K,33.8825836790883
273,KMB,22.8991832847631
274,KIM,32.3702129293302
275,KMI,28.914626255045
276,KLAC.O,49.3296141162747
277,KHC.O,28.1342144823578
278,KR,33.8851604101774
279,LHX,31.4643736486554
280,LH,29.9241254618865
281,LRCX.O,54.2510493620034
282,LW,30.4138232233268
283,LVS,58.6226111238946
284,LDOS.K,25.6981882904134
285,LEN,45.0647144012734
286,LNC,64.094101934524
287,LIN,31.4657274691274
288,LYV,46.5533419343834
289,LKQ.O,37.0076537349831
290,LMT,28.0155694335464
291,L,24.4342676569202
292,LOW,34.1405181924994
293,LUMN.K,49.4924671047522
294,LYB,35.8597277137029
295,MTB,35.502308655482
296,MRO,54.40827111049
297,MPC,37.3861482638499
298,MKTX.O,38.8013238763992
299,MAR.O,39.4668666884889
300,MMC,26.5923803024804
301,MLM,33.9840482829315
302,MAS,37.2238943564967
303,MA,34.0071342875688
304,MTCH.O,65.7441443897627
305,MKC,26.8599141716226
306,MCD,21.1427271779366
307,MCK,24.7422187622181
308,MDT,25.6785030834294
309,MRK,20.3755890732802
310,META.O,71.9096691236392
311,MET,26.8449666382457
312,MTD,38.5588688090341
313,MGM,51.6491508315037
314,MCHP.O,47.674942443594
315,MU.O,49.0435287745544
316,MSFT.O,36.560569059527
317,MAA,27.4544726278798
318,MRNA.O,69.8714788367332
319,MHK,48.6489350899043
320,MOH,30.2473780967589
321,TAP,29.6169677124224
322,MDLZ.O,22.2218456540969
323,MPWR.O,63.5768682952588
324,MNST.O,30.7129008683181
325,MCO,35.0876661611625
326,MS,32.6418072199056
327,MOS,58.2570915182263
328,MSI,31.7163635012644
329,MSCI.K,40.5405816658542
330,NDAQ.O,27.6626074822702
331,NTAP.O,34.1597195166713
332,NFLX.O,75.2594486923975
333,NWL.O,44.0288027834519
334,NEM,39.9962546065407
335,NWSA.O,38.2637553678314
336,NWS.O,38.6902460632845
337,NEE,30.9266200788218
338,NKE,43.4364975513858
339,NI,26.4985365669323
340,NDSN.O,27.7342475253957
341,NSC,30.4092571661903
342,NTRS.O,35.2742950621
343,NOC,32.3809594168909
344,NLOK.O,37.0295552161417
345,NCLH.K,80.6890895227067
346,NRG,33.6519243024681
347,NUE,47.5781354815956
348,NVDA.O,65.2517889734112
349,NVR,37.3311112271675
350,NXPI.O,46.502054366811
351,ORLY.O,31.5070835998181
352,OXY,56.3948905630025
353,ODFL.O,44.3703525866455
354,OMC,34.6477833944714
355,ON.O,63.4162791555986
356,OKE,36.0042210920514
357,ORCL.K,31.8497211079913
358,OGN,32.9663339376246
359,OTIS.K,27.9564181656717
360,PCAR.O,27.2438335544422
361,PKG,30.7452530435206
362,PARA.O,57.3955419251167
363,PH,33.0865951323192
364,PAYX.O,28.9378824786401
365,PAYC.K,53.9840511786354
366,PYPL.O,64.5110017995722
367,PNR,34.6482322363051
368,PEP.O,20.9617731193766
369,PKI,39.3583443816409
370,PFE,26.8427096529397
371,PCG,37.5033432006316
372,PM,27.0366324040411
373,PSX,41.1451992925093
374,PNW,26.0743888249715
375,PXD,41.9525143704486
376,PNC,30.4749736854133
377,POOL.O,45.0110291736085
378,PPG,37.7654410970689
379,PPL,25.3505475864799
380,PFG.O,32.608398681493
381,PG,23.4226897603165
382,PGR,27.1329578258306
383,PLD,35.8292450814957
384,PRU,30.959481177351
385,PEG,24.6946320618271
386,PTC.O,40.5281646788837
387,PSA,30.2846605910256
388,PHM,45.7203753923588
389,QRVO.O,47.8365592616733
390,PWR,40.4822587627837
391,QCOM.O,48.0906941709524
392,DGX,24.7517360450987
393,RL,47.344556059761
394,RJF,35.4400004973953
395,RTX,27.3600042405103
396,O,22.9264486965973
397,REG.O,31.3659821502165
398,REGN.O,34.8553343033132
399,RF,36.5656317712024
400,RSG,23.5605959940834
401,RMD,33.8651924551448
402,RHI,38.4596609481704
403,ROK,39.4860810605348
404,ROL,29.7890233278374
405,ROP,27.0387234141464
406,ROST.O,48.7017478310333
407,RCL,73.1375745246246
408,SPGI.K,31.3495601667559
409,CRM,47.6832033092113
410,SBAC.O,33.5401812020178
411,SLB,51.5642843357401
412,STX.O,43.4288375319387
413,SEE,36.2001231170548
414,SRE,24.6122066391564
415,NOW,56.7597457327134
416,SHW,37.1650021070405
417,SBNY.O,57.9394578998372
418,SPG,34.3476922579337
419,SWKS.O,44.4910336930119
420,SJM,25.4111305091431
421,SNA,27.3767505220225
422,SEDG.O,74.4603894106601
423,SO,23.8599054634213
424,LUV,38.5949313111852
425,SWK,45.3382394516672
426,SBUX.O,38.1714360620145
427,STT,40.0492023673765
428,STE,33.2607547715452
429,SYK,32.5395773047845
430,SIVB.O,65.9633710288896
431,SYF,45.9672946265184
432,SNPS.O,43.1856459679385
433,SYY,30.7864121247833
434,TMUS.O,29.4534902877207
435,TROW.O,43.1131311987193
436,TTWO.O,43.1369803972928
437,TPR,51.4229773533643
438,TRGP.K,43.0290398918412
439,TGT,49.6963010995108
440,TEL,34.6997872531938
441,TDY,30.5919652559697
442,TFX,36.0086416916565
443,TER.O,47.9864086011292
444,TSLA.O,63.8975498414351
445,TXN.O,32.6722810005497
446,TXT,34.4062805045802
447,TMO,33.2463803100067
448,TJX,35.0178107552365
449,TSCO.O,37.3160635342022
450,TT,31.6848674957899
451,TDG,36.3186720040677
452,TRV,23.3843932874902
453,TRMB.O,43.1146444976667
454,TFC,32.9812432168254
455,TYL,41.3648000983722
456,TSN,28.6010136001894
457,USB,28.9980520008676
458,UDR,29.3567878728275
459,ULTA.O,38.2170183502325
460,UNP,27.4548842330467
461,UAL.O,58.4781769239837
462,UPS,32.3801294124598
463,URI,42.4781310647666
464,UNH,24.6494727602751
465,UHS,42.685375534685
466,VLO,47.0597758545571
467,VTR,32.2188574614937
468,VRSN.O,37.2206823757089
469,VRSK.O,28.2095924108274
470,VZ,23.7987132040939
471,VRTX.O,33.7094914015802
472,VFC,43.7551793351038
473,VTRS.O,48.3471256094159
474,VICI.K,28.5368407654285
475,V,32.4903821042767
476,VNO,38.0402402358694
477,VMC,32.5815394596643
478,WAB,33.7234267589932
479,WBA.O,32.47662727843
480,WMT,28.0369842447458
481,WBD.O,62.0131088467975
482,WM,22.678188961794
483,WAT,35.1150898795556
484,WEC,23.8625315743213
485,WFC,35.3069884017434
486,WELL.K,28.1494816216765
487,WST,42.3475796535147
488,WDC.O,48.4892231709002
489,WRK,38.3869661120445
490,WY,31.9275374200479
491,WHR,40.6688642478557
492,WMB,30.1413458325751
493,WTW.O,26.4615927738026
494,GWW,30.2612560316964
495,WYNN.O,61.5240726734845
496,XEL.O,24.3544971585339
497,XYL,37.2073811348374
498,YUM,25.3699204759004
499,ZBRA.O,49.4528966978414
500,ZBH,32.4010156971789
501,ZION.O,38.5764482198899
502,ZTS,32.8659193598587
